text	category
Filing cabinet and folders purchase	Office Supplies
Flight tickets Mumbai to Delhi business	Travel
Bulk purchase electronic components PCB	Inventory
Filing cabinet and folders purchase	Office Supplies
DHL international freight charges	Logistics
Raw materials procurement steel sheets	Inventory
Slack Teams license renewal monthly	Cloud/Software
Slack Teams license renewal monthly	Cloud/Software
AWS monthly cloud hosting bill	Cloud/Software
Cab reimbursement airport to office	Travel
DHL international freight charges	Logistics
Water supply charges quarterly invoice	Utilities
Sticky notes highlighters tape dispenser	Office Supplies
Generator diesel fuel consumption charges	Utilities
Building maintenance electricity usage	Utilities
Airport lounge access charges executive	Travel
Warehouse storage and handling fees	Logistics
Sticky notes highlighters tape dispenser	Office Supplies
Fabric and thread textile inventory purchase	Inventory
Road transport invoice for goods delivery	Logistics
Zoom video conferencing subscription	Cloud/Software
Travel insurance premium business trip	Travel
Fabric and thread textile inventory purchase	Inventory
Phone landline bill monthly charges	Utilities
Packaging material boxes tape bubble wrap	Inventory
Blue Dart courier charges for warehouse delivery	Logistics
Cab reimbursement airport to office	Travel
Flight tickets Mumbai to Delhi business	Travel
Waste disposal municipal services invoice	Utilities
Figma design tool team subscription	Cloud/Software
Grocery stock purchase retail store	Inventory
Salesforce CRM monthly subscription	Cloud/Software
Water supply charges quarterly invoice	Utilities
Sticky notes highlighters tape dispenser	Office Supplies
Visa processing fees business travel	Travel
Airport lounge access charges executive	Travel
Flight tickets Mumbai to Delhi business	Travel
Office chair ergonomic purchase accounts	Office Supplies
Cleaning supplies soap sanitizer office	Office Supplies
Cab reimbursement airport to office	Travel
Grocery stock purchase retail store	Inventory
Ballpoint pens notebooks stationery order	Office Supplies
Cargo transport fees from supplier	Logistics
Google Cloud Platform storage fees	Cloud/Software
Sticky notes highlighters tape dispenser	Office Supplies
Zoom video conferencing subscription	Cloud/Software
Phone landline bill monthly charges	Utilities
Conference registration travel expense	Travel
Flight tickets Mumbai to Delhi business	Travel
GitHub Enterprise subscription annual	Cloud/Software
Desk organizer tray set purchase	Office Supplies
Medicine supply pharmacy stock order	Inventory
Hotel accommodation Bengaluru three nights	Travel
Printer ink cartridges HP OfficeJet	Office Supplies
Natural gas heating bill winter quarter	Utilities
Salesforce CRM monthly subscription	Cloud/Software
DHL international freight charges	Logistics
Car rental weekly charges outstation visit	Travel
Last mile delivery charges urban zone	Logistics
DHL international freight charges	Logistics
Staples office paper A4 reams purchase	Office Supplies
Warehouse storage and handling fees	Logistics
Coffee machine for office pantry	Office Supplies
Train tickets Rajdhani Express booking	Travel
Electricity bill commercial premises April	Utilities
Office chair ergonomic purchase accounts	Office Supplies
Whiteboard markers and erasers bulk order	Office Supplies
Cab reimbursement airport to office	Travel
Water supply charges quarterly invoice	Utilities
Port handling and customs clearance fees	Logistics
Filing cabinet and folders purchase	Office Supplies
FedEx shipment fees for product dispatch	Logistics
Fabric and thread textile inventory purchase	Inventory
Solar panel energy credit utility bill	Utilities
FedEx shipment fees for product dispatch	Logistics
Microsoft Azure compute instance charges	Cloud/Software
Waste disposal municipal services invoice	Utilities
Spare parts purchase for manufacturing	Inventory
DHL international freight charges	Logistics
Fleet fuel reimbursement for delivery trucks	Logistics
Air conditioning electricity consumption	Utilities
Flight tickets Mumbai to Delhi business	Travel
Spare parts purchase for manufacturing	Inventory
Hotel accommodation Bengaluru three nights	Travel
Road transport invoice for goods delivery	Logistics
Zoom video conferencing subscription	Cloud/Software
